title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
GB3OA,145612500,145012500,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3CR,433150000,434750000,11090,11090,H,25000,0,0,0,0,0,0,0,0
GB3FC,430850000,438450000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3LI,433250000,434850000,8250,8250,H,25000,0,0,0,0,0,0,0,0
GB3MR,433350000,434950000,8250,8250,H,25000,0,0,0,0,0,0,0,0
GB3ST,433225000,434825000,10350,10350,H,25000,0,0,0,0,0,0,0,0
GB7SJ,433175000,434775000,10350,10350,H,25000,0,0,0,0,0,0,0,0
GB3SJ,145687500,145087500,10350,10350,H,12500,0,0,0,0,0,0,0,0
GB7HN,430875000,438475000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3PZ,430900000,438500000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3RF,145775000,145175000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3MP,145750000,145150000,11090,11090,H,12500,0,0,0,0,0,0,0,0
GB3PT,430862500,438462500,9480,9480,H,12500,0,0,0,0,0,0,0,0
GB3RO,430825000,438425000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3BY,430975000,438575000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3RX,430812500,438412500,7700,7700,H,12500,0,0,0,0,0,0,0,0
GB3PF,430925000,438525000,9480,9480,H,12500,0,0,0,0,0,0,0,0
GB3PN,430950000,438550000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3MI,145712500,145112500,8250,8250,H,12500,0,0,0,0,0,0,0,0
2E0PEU,145575000,144975000,10350,10350,H,12500,0,0,0,0,0,0,0,0
GB3EG,430912500,438512500,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3RV,145737500,145137500,8250,8250,H,12500,0,0,0,0,0,0,0,0
GB3FO,430250000,439250000,8250,8250,H,12500,0,0,0,0,0,0,0,0
GW7VFJ,439150000,430150000,11090,11090,H,12500,0,0,0,0,0,0,0,0
MB5HR,430887500,438487500,11090,11090,H,12500,0,0,0,0,0,0,0,0
